x,y,cluster
133.183,334.297,0
216.057,365.659,0
173.63,97.4707,0
852.256,335.186,1
361.947,957.58,2
647.197,308.218,1
819.912,138.882,1
728.462,469.593,1
805.377,748.329,2
28.6615,947.265,0
354.718,587.868,0
851.282,135.502,1
484.631,483.784,0
567.027,615.056,2
38.5268,511.755,0
867.919,801.952,2
43.5232,173.992,0
356.85,113.674,1
47.1467,676.898,0
334.256,278.308,0
724.634,715.777,2
250.373,590.021,0
453.939,953.634,2
224.464,913.017,0
27.7067,360.756,0
406.878,519.197,0
627.287,93.7821,1
808.508,702.022,2
349.013,226.172,0
818.43,779.42,2
935.597,584.477,2
590.434,563.371,2
994.167,268.228,1
938.35,446.401,1
18.5895,373.543,0
849.172,605.766,2
550.137,244.553,1
471.389,73.9128,1
84.7866,754.698,0
932.11,943.476,2
344.036,242.389,0
262.271,550.353,0
899.989,587.197,2
485.971,219.075,1
517.814,888.78,2
759.908,916.944,2
495.626,624.542,2
781.908,999.439,2
253.161,264.026,0
842.961,134.868,1
482.513,14.4494,1
771.531,433.675,1
628.408,413.933,1
471.266,70.0397,1
637.835,521.443,2
442.589,473.759,0
8.24561,960.474,0
423.499,153.805,1
243.828,509.718,0
83.9823,121.86,0
603.775,219.596,1
19.2424,779.664,0
258.324,147.769,0
450.724,498.478,0
939.328,448.267,1
236.366,761.501,0
494.717,769.125,2
226.02,390.814,0
921.386,205.716,1
261.91,109.206,0
568.784,172.214,1
779.482,764.993,2
107.786,75.4064,0
606.423,458.962,1
690.555,878.597,2
154.06,829.428,0
449.47,162.766,1
189.874,371.991,0
822.227,122.743,1
107.419,353.577,0
420.775,481.29,0
621.969,42.8533,1
31.144,354.799,0
76.6224,485.266,0
547.384,567.212,2
624.068,735.678,2
529.764,134.048,1
892.729,627.588,2
226.195,191.163,0
581.87,740.638,2
36.4851,989.21,0
819.28,671.323,2
877.485,861.479,2
401.852,986.984,2
476.283,965.543,2
567.705,828.023,2
733.844,524.108,2
89.2174,518.597,0
751.068,690.514,2
410.99,208.994,1
676.665,899.446,2
647.547,733.138,2
612.091,389.262,1
258.107,34.0734,0
994.115,355.451,1
293.599,985.131,2
802.417,962.572,2
107.731,412.96,0
141.565,137.854,0
186.173,481.96,0
348.083,850.316,2
389.708,577.453,0
725.93,481.892,1
251.398,509.344,0
243.61,383.926,0
145.528,610.156,0
160.444,920.089,0
41.7348,607.357,0
556.317,349.654,1
372.482,582.917,0
605.198,299.196,1
673.593,560.645,2
899.392,736.428,2
995.363,943.559,2
191.952,697.655,0
26.76,787.373,0
362.231,222.265,0
956.924,131.19,1
825.61,659.823,2
351.166,126.194,1
189.543,989.153,0
637.695,479.599,1
90.5659,37.2901,0
670.563,873.46,2
330.994,419.345,0
100.185,259.776,0
586.747,140.216,1
649.316,41.2329,1
388.44,354.978,0
512.699,907.141,2
331.289,465.117,0
112.152,562.411,0
67.9819,910.837,0
239.787,992.766,2
838.482,275.103,1
106.409,527.168,0
883.734,510.835,2
916.744,907.648,2
576.808,951.404,2
211.921,543.903,0
597.584,179.542,1
406.246,583.441,0
621.124,436.943,1
249.194,149.406,0
423.032,13.9296,1
668.297,741.439,2
489.208,267.887,1
277.488,129.19,0
440.244,557.451,0
475.138,745.924,2
304.367,290.368,0
687.774,772.602,2
175.42,77.9572,0
130.953,511.609,0
375.52,837.303,2
453.157,779,2
294.286,522.157,0
936.332,114.092,1
798.503,392.139,1
2.77959,87.8153,0
932.581,90.0285,1
19.4896,756.085,0
620.355,519.051,2
592.919,167.304,1
431.469,132.51,1
903.506,803.693,2
472.465,376.736,1
350.136,616.13,0
740.122,632.633,2
799.922,126.866,1
696.47,585.655,2
291.91,245.489,0
126.015,959.654,0
151.674,267.337,0
757.308,227.905,1
858.031,624.513,2
88.5035,837.599,0
701.611,904.31,2
323.207,976.611,2
793.675,786.176,2
189.53,742.459,0
155.132,787.659,0
959.952,921.326,2
724.504,330.521,1
95.9196,419.023,0
164.764,519.812,0
282.119,856.931,0
619.958,409.011,1
43.5313,2.88778,0
59.2203,834.013,0
40.9845,716.559,0
268.829,71.5313,0
846.081,776.151,2
12.5315,387.681,0
261.027,419.275,0
547.868,170.209,1
713.378,926.906,2
365.73,223.959,0
853.497,400.582,1
198.192,604.163,0
