x,y,cluster
133.183,334.297,2
216.057,365.659,2
173.63,97.4707,0
852.256,335.186,1
361.947,957.58,2
647.197,308.218,0
819.912,138.882,0
728.462,469.593,1
805.377,748.329,1
28.6615,947.265,2
354.718,587.868,2
851.282,135.502,0
484.631,483.784,0
567.027,615.056,1
38.5268,511.755,2
867.919,801.952,1
43.5232,173.992,0
356.85,113.674,0
47.1467,676.898,2
334.256,278.308,0
724.634,715.777,1
250.373,590.021,2
453.939,953.634,2
224.464,913.017,2
27.7067,360.756,2
406.878,519.197,2
627.287,93.7821,0
808.508,702.022,1
349.013,226.172,0
818.43,779.42,1
935.597,584.477,1
590.434,563.371,1
994.167,268.228,1
938.35,446.401,1
18.5895,373.543,2
849.172,605.766,1
550.137,244.553,0
471.389,73.9128,0
84.7866,754.698,2
932.11,943.476,1
344.036,242.389,0
262.271,550.353,2
899.989,587.197,1
485.971,219.075,0
517.814,888.78,1
759.908,916.944,1
495.626,624.542,2
781.908,999.439,1
253.161,264.026,0
842.961,134.868,0
482.513,14.4494,0
771.531,433.675,1
628.408,413.933,0
471.266,70.0397,0
637.835,521.443,1
442.589,473.759,0
8.24561,960.474,2
423.499,153.805,0
243.828,509.718,2
83.9823,121.86,0
603.775,219.596,0
19.2424,779.664,2
258.324,147.769,0
450.724,498.478,2
939.328,448.267,1
236.366,761.501,2
494.717,769.125,2
226.02,390.814,2
921.386,205.716,0
261.91,109.206,0
568.784,172.214,0
779.482,764.993,1
107.786,75.4064,0
606.423,458.962,1
690.555,878.597,1
154.06,829.428,2
449.47,162.766,0
189.874,371.991,2
822.227,122.743,0
107.419,353.577,2
420.775,481.29,2
621.969,42.8533,0
31.144,354.799,2
76.6224,485.266,2
547.384,567.212,1
624.068,735.678,1
529.764,134.048,0
892.729,627.588,1
226.195,191.163,0
581.87,740.638,1
36.4851,989.21,2
819.28,671.323,1
877.485,861.479,1
401.852,986.984,2
476.283,965.543,2
567.705,828.023,1
733.844,524.108,1
89.2174,518.597,2
751.068,690.514,1
410.99,208.994,0
676.665,899.446,1
647.547,733.138,1
612.091,389.262,0
258.107,34.0734,0
994.115,355.451,1
293.599,985.131,2
802.417,962.572,1
107.731,412.96,2
141.565,137.854,0
186.173,481.96,2
348.083,850.316,2
389.708,577.453,2
725.93,481.892,1
251.398,509.344,2
243.61,383.926,2
145.528,610.156,2
160.444,920.089,2
41.7348,607.357,2
556.317,349.654,0
372.482,582.917,2
605.198,299.196,0
673.593,560.645,1
899.392,736.428,1
995.363,943.559,1
191.952,697.655,2
26.76,787.373,2
362.231,222.265,0
956.924,131.19,0
825.61,659.823,1
351.166,126.194,0
189.543,989.153,2
637.695,479.599,1
90.5659,37.2901,0
670.563,873.46,1
330.994,419.345,2
100.185,259.776,0
586.747,140.216,0
649.316,41.2329,0
388.44,354.978,0
512.699,907.141,1
331.289,465.117,2
112.152,562.411,2
67.9819,910.837,2
239.787,992.766,2
838.482,275.103,0
106.409,527.168,2
883.734,510.835,1
916.744,907.648,1
576.808,951.404,1
211.921,543.903,2
597.584,179.542,0
406.246,583.441,2
621.124,436.943,0
249.194,149.406,0
423.032,13.9296,0
668.297,741.439,1
489.208,267.887,0
277.488,129.19,0
440.244,557.451,2
475.138,745.924,2
304.367,290.368,0
687.774,772.602,1
175.42,77.9572,0
130.953,511.609,2
375.52,837.303,2
453.157,779,2
294.286,522.157,2
936.332,114.092,0
798.503,392.139,1
2.77959,87.8153,0
932.581,90.0285,0
19.4896,756.085,2
620.355,519.051,1
592.919,167.304,0
431.469,132.51,0
903.506,803.693,1
472.465,376.736,0
350.136,616.13,2
740.122,632.633,1
799.922,126.866,0
696.47,585.655,1
291.91,245.489,0
126.015,959.654,2
151.674,267.337,0
757.308,227.905,0
858.031,624.513,1
88.5035,837.599,2
701.611,904.31,1
323.207,976.611,2
793.675,786.176,1
189.53,742.459,2
155.132,787.659,2
959.952,921.326,1
724.504,330.521,0
95.9196,419.023,2
164.764,519.812,2
282.119,856.931,2
619.958,409.011,0
43.5313,2.88778,0
59.2203,834.013,2
40.9845,716.559,2
268.829,71.5313,0
846.081,776.151,1
12.5315,387.681,2
261.027,419.275,2
547.868,170.209,0
713.378,926.906,1
365.73,223.959,0
853.497,400.582,1
198.192,604.163,2
23.2451,171.413,0
554.985,394.055,0
430.828,74.7342,0
917.924,410.564,1
145.743,250.869,0
527.411,496.76,0
317.575,124.061,0
540.733,336.866,0
